年月,総数,中国,香港,台湾,韓国,フィリピン,タイ,シンガポール,マレーシア,インドネシア,インド,ベトナム,英国,ドイツ,フランス,ロシア,イタリア,米国,カナダ,豪州
2013年7月,1003032,139905,85335,238502,243992,6739,30189,11248,9929,8092,6176,7316,17376,9895,15947,5345,5958,75350,13219,16190
2013年8月,906379,162288,71767,194944,215498,6725,23849,8831,10951,16221,5835,6000,14123,8682,15081,5168,8725,58347,11424,10553
2013年9月,866966,156201,55379,206844,164499,7886,29278,11597,11681,8694,6372,7370,15809,11788,11873,5073,5550,61261,11326,21505
2013年10月,928560,121335,62433,213501,158273,10877,61306,16146,17760,10591,6377,11292,20799,13669,17069,5798,7470,73731,14011,18099
2013年11月,839891,101940,62679,177949,170901,8644,51185,20003,26153,11011,6526,7207,15073,11881,11469,5750,5574,65228,12896,16089
2013年12月,864491,96572,72174,149404,182846,11113,56019,38151,28524,16961,4926,5146,14675,7778,10434,4076,5406,68208,14562,30330
2014年1月,944009,155605,63503,196923,255517,9160,27161,10888,13961,7129,6887,6707,13972,7365,9132,4285,3280,59767,12852,37367
2014年2月,880020,138236,64809,191235,231502,7495,34334,10370,14109,6527,4982,7419,14835,8954,8882,3423,3800,52016,11420,26589
2014年3月,1050559,184064,64482,208610,192078,12709,71122,16378,23372,14302,6892,11145,20029,13752,15788,6426,6541,80929,16079,21334
2014年4月,1231471,190558,79357,257894,193998,29721,99396,18662,25166,16946,7440,17889,23588,15218,22166,6807,9467,85298,17782,30174
2014年5月,1097211,165784,70804,281997,195263,19313,62254,18256,22607,14765,9850,7897,16846,12101,14879,5041,5887,80373,15951,18547
2014年6月,1055273,173046,78129,254274,207588,13424,36323,23298,17029,15658,7420,8513,15019,9427,11512,4999,4968,87870,12722,21081
2014年7月,1270048,281309,91224,279316,250741,11033,42891,13047,16249,16791,7239,10973,19625,11653,18646,5809,6921,82937,15763,20086
2014年8月,1109569,253802,74961,229871,251428,11517,29355,8256,9938,8454,7042,9523,15811,10715,17533,5349,10664,63883,14214,13089
2014年9月,1099102,246105,69872,220797,217689,12663,31058,14132,16083,10834,7640,10665,20654,12720,13603,5038,7032,69301,14531,30631
2014年10月,1271705,223214,77347,260398,249577,19426,79388,20145,24020,12182,8203,15222,24299,16469,20172,6791,8860,82512,17675,23994
2014年11月,1168427,207462,85251,236520,239029,15950,68024,26694,27682,11433,8325,10370,18470,12945,13280,6185,6323,73243,16184,22155
2014年12月,1236073,189973,106236,211986,270903,21793,76264,47836,39305,23718,6047,7943,16912,8935,12977,3924,6788,73539,17692,37609
2015年1月,1218393,226214,87742,217035,358093,14428,44770,11813,12312,9683,7771,12266,15030,8325,10035,4024,4168,62081,14250,48583
2015年2月,1386982,359080,109384,277626,321576,14190,44038,16293,19269,8094,5982,9489,17770,9815,11951,2781,4680,59157,16304,30303
2015年3月,1525879,338121,117223,277934,268156,26786,92438,23147,28193,19542,8228,18736,25205,18374,18090,5503,8869,95609,21638,29178
2015年4月,1764691,405731,119602,335140,304619,36673,117930,24833,29556,23364,9204,28510,27049,15661,27146,5207,10402,95891,21868,34060
2015年5月,1641734,387170,120626,339677,315389,27847,81015,24593,25797,18859,11328,12319,19882,14340,20324,4275,7873,92184,20708,24827
2015年6月,1602198,462248,137014,345243,251504,18619,43390,29167,18525,17119,8588,13043,16839,10537,13500,3756,6410,102103,16725,22695
2015年7月,1918356,576868,158712,361683,343799,16374,51852,17194,19954,25528,8294,15366,26340,13845,22304,5041,9963,98201,19767,25396
2015年8月,1817023,591510,141466,313929,390971,14794,31289,12616,12301,9777,8680,13770,20466,13405,21199,4826,16658,76926,17758,17878
2015年9月,1612208,491201,115242,302897,301645,15843,34385,18716,21307,12855,9098,15569,22699,14542,15276,4216,8368,76279,17703,34712
2015年10月,1829265,445562,129080,343601,370842,25685,86001,25205,28488,16753,9719,21391,26221,18840,23871,5230,10192,96208,21902,29621
2015年11月,1647550,362950,130776,296499,359845,24443,76145,38205,39481,14197,9507,14592,21577,14723,16277,5593,7213,88707,20797,29463
2015年12月,1773130,347034,157425,265811,415656,32679,93478,67001,50264,29312,6685,10344,19410,10173,14255,3913,8402,89912,21970,49359
2016年1月,1851895,475115,125012,320963,514889,18848,61115,15086,19843,13735,9637,14792,17616,9659,12077,4257,5149,75909,17681,56075
2016年2月,1891375,498903,151836,348971,490845,18509,61315,20354,29915,11966,7155,17599,20057,11279,14502,3202,5374,67616,17492,35858
2016年3月,2009550,498053,160954,328400,374057,37525,99692,32964,38223,26828,9723,23211,34746,21113,22122,4934,10687,116207,26622,41763
2016年4月,2081697,514866,127245,384165,353660,41949,130992,30576,38038,31169,11583,34134,28499,18048,33978,5421,12017,114153,23079,39658
2016年5月,1893574,507095,140046,375475,302088,36871,84919,29250,36560,21053,13643,16377,24048,16646,23250,4108,9389,111980,24092,29811
2016年6月,1985722,582452,163103,397840,347365,27621,47898,32574,20879,22896,11955,16736,20315,12025,16659,3545,8100,125353,18915,30192
2016年7月,2296451,731386,184630,397002,447008,20306,61253,17960,24960,26692,9625,18584,24721,14489,26962,4700,10867,117636,22928,29133
2016年8月,2049234,676966,159340,333242,458927,17385,34660,12069,15534,12837,9336,17206,21451,14186,23669,4312,18385,88783,21890,19392
2016年9月,1918246,522302,130937,347522,430614,20817,44673,21923,25895,17831,10097,19252,24693,16857,17297,4485,9767,96808,22097,41134
2016年10月,2135904,506162,153971,354457,449555,36708,98276,29860,36696,23260,11522,24696,32022,22874,30035,6464,12531,119477,29736,37667
2016年11月,1875404,432802,152346,300739,426918,30004,80327,43323,44428,21853,11151,18126,23489,15399,17399,4983,8581,103761,24039,33125
2016年12月,2050648,427462,189773,278736,494376,41318,96405,75868,63297,40894,7512,13050,20801,10713,15499,4428,8404,105036,24642,51524
2017年1月,2295668,630570,185486,350765,625415,26386,65176,20415,34513,22539,10105,21621,20811,10256,14374,4320,5569,88183,22583,61107
2017年2月,2035771,509090,140622,342951,600018,25795,75098,17643,26667,17911,7485,22000,19044,11777,13807,3829,5449,73587,18774,40690
2017年3月,2205664,508979,164469,339884,488349,34860,111502,33791,43744,36001,11242,30594,31390,22422,23656,7105,11004,130922,29439,39965
2017年4月,2578970,528781,209394,413348,554627,62022,138559,35380,43152,45215,14470,38928,37157,23415,37405,9033,16049,141090,34285,56202
2017年5月,2294717,517038,181601,407471,558892,43994,88816,34322,36019,24908,15584,22118,25861,17370,24951,5883,9827,124672,27622,32040
2017年6月,2346442,587193,201799,433603,568877,31450,51755,36283,30044,38314,10650,21869,19501,12799,16071,5550,8324,137985,20246,32506
2017年7月,2681518,780771,234651,446604,644026,24463,56699,19720,21572,23413,10953,24696,26251,15496,29096,6338,10945,129369,26429,30383
2017年8月,2477428,819855,196761,377843,620904,21311,36176,15331,21072,13980,10069,24665,22188,14268,24629,5835,17201,91978,22443,22157
2017年9月,2280406,678313,165513,347796,556885,22473,49526,22203,26478,22041,11513,25388,27114,18316,18283,6492,10203,100174,22312,44102
2017年10月,2595148,663815,171103,421094,620936,42097,103536,32090,39356,27116,12497,32461,33227,22081,30173,9315,12555,125930,29398,39421
2017年11月,2378079,567149,172926,363178,622604,40597,94533,50521,52219,28549,10870,24880,25001,15911,19125,7842,9308,114910,25005,39189
2017年12月,2521262,564264,207243,319516,678905,48673,115835,86433,64712,52343,8933,19678,22954,11495,17035,5709,9430,116164,27055,57292
2018年1月,2501409,632304,160520,350522,803816,31706,82592,21169,31112,29870,11338,27703,19913,11066,14602,5689,6391,92014,20459,69924
2018年2月,2509297,716333,178482,400858,708318,27499,82017,23496,35319,21103,7869,23366,23892,13204,16252,4937,5942,81924,20843,45166
2018年3月,2607956,594920,195651,387338,619196,56103,116213,38089,47652,32428,13832,35235,36398,24923,25332,8916,13244,150964,34886,47472
2018年4月,2900718,683377,179930,470042,638523,63893,148647,37605,49212,43103,17713,50299,36185,22112,44047,12375,17762,147028,34255,57432
2018年5月,2675052,668600,190505,440109,640355,59016,103554,39385,36420,31460,17271,28172,30310,20364,29583,7450,12182,140463,31417,39563
2018年6月,2704631,760949,205549,456895,606162,37354,73642,39975,36462,56157,12485,29476,22550,14421,19381,7048,11044,161736,23914,35782
2018年7月,2832040,879097,226755,460473,607953,28965,74402,21383,23088,26495,12429,33492,26508,17160,33255,7768,13540,146716,27252,33863
2018年8月,2578021,860121,198127,394551,593941,24714,47507,16332,20143,17470,10509,34229,24164,16206,28195,6729,22055,103092,24951,23729
2018年9月,2159595,652740,126174,329142,479733,24779,54422,23366,26667,24437,13310,29270,26904,20006,20143,7555,12273,104637,23100,48617
2018年10月,2640610,715255,169473,379633,571176,47316,117949,35123,39139,28253,13736,39421,36850,24864,34320,10778,15064,143977,33753,47444
2018年11月,2450751,617252,167184,351905,588213,46965,102911,54274,55519,32110,13265,33986,27417,18544,22058,9272,11621,127006,27638,39840
2018年12月,2631776,599086,209454,335790,681566,55666,128304,87083,67627,53966,10272,24356,22888,12466,17728,6293,8942,126850,28132,63608
